station_id;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;capacity;lat;long;DisttoCentre;labels;labelsPCA
58;64,0;62,0;52,0;35,0;33,0;33,0;39,0;35,0;43,0;49,0;51,0;53,0;49,0;53,0;64,0;66,0;67,0;67,0;60,0;53,0;50,0;56,0;62,0;63,0;21;41,38282199999964;2,1671539999999863;0,52;1;1
59;44,0;40,0;36,0;32,0;31,0;28,0;28,0;23,0;26,0;30,0;33,0;35,0;36,0;38,0;45,0;53,0;60,0;65,0;62,0;57,0;56,0;55,0;57,0;53,0;21;41,38278100000019;2,1672029999999776;0,53;1;1
60;0,0;0,0;0,0;0,0;1,0;7,0;29,0;63,0;79,0;80,0;81,0;72,0;50,0;25,0;10,0;5,0;3,0;4,0;3,0;2,0;2,0;2,0;2,0;1,0;27;41,390349000000285;2,164240000000002;0,61;3;2
61;0,0;0,0;0,0;1,0;4,0;14,0;45,0;76,0;86,0;86,0;84,0;76,0;53,0;37,0;25,0;17,0;11,0;10,0;9,0;2,0;2,0;1,0;1,0;0,0;27;41,39014300000033;2,1649460000000205;0,55;3;2
62;0,0;0,0;0,0;1,0;8,0;23,0;49,0;79,0;84,0;84,0;81,0;79,0;76,0;67,0;64,0;62,0;51,0;34,0;22,0;12,0;10,0;8,0;5,0;3,0;25;41,38714199999965;2,168858;0,1;3;2
63;1,0;0,0;0,0;1,0;2,0;17,0;66,0;83,0;81,0;75,0;71,0;69,0;66,0;65,0;62,0;59,0;38,0;24,0;16,0;8,0;8,0;6,0;5,0;5,0;27;41,38645000000071;2,1694629999999697;0,08;3;2
64;0,0;0,0;2,0;3,0;4,0;8,0;33,0;73,0;83,0;84,0;83,0;80,0;74,0;69,0;65,0;59,0;50,0;35,0;26,0;17,0;9,0;6,0;4,0;3,0;21;41,38746900000028;2,1690479999999805;0,1;3;2
65;2,0;1,0;2,0;5,0;9,0;26,0;60,0;80,0;81,0;84,0;81,0;69,0;62,0;55,0;50,0;55,0;45,0;30,0;22,0;13,0;10,0;8,0;4,0;3,0;21;41,38767799999941;2,169587000000016;0,08;3;2
66;0,0;0,0;0,0;1,0;7,0;40,0;69,0;75,0;85,0;83,0;79,0;70,0;45,0;26,0;25,0;19,0;16,0;17,0;13,0;7,0;5,0;2,0;3,0;1,0;15;41,389096999999566;2,1679329999999686;0,29;3;2
67;31,0;32,0;32,0;30,0;22,0;11,0;2,0;3,0;2,0;2,0;4,0;7,0;6,0;4,0;6,0;6,0;4,0;11,0;12,0;15,0;17,0;18,0;18,0;21,0;24;41,38501199999969;2,145843000000012;2,04;2;5
68;1,0;1,0;1,0;1,0;2,0;8,0;9,0;25,0;29,0;17,0;14,0;11,0;5,0;3,0;3,0;4,0;4,0;4,0;3,0;3,0;3,0;3,0;1,0;1,0;27;41,39536399999998;2,1573559999999974;1,41;2;5
69;12,0;8,0;9,0;8,0;9,0;14,0;38,0;83,0;92,0;95,0;90,0;88,0;82,0;80,0;78,0;75,0;58,0;36,0;25,0;23,0;22,0;17,0;16,0;12,0;20;41,387969999999825;2,19580100000001;2,16;3;2
70;83,0;84,0;84,0;84,0;83,0;69,0;35,0;9,0;9,0;6,0;6,0;9,0;22,0;38,0;46,0;54,0;65,0;72,0;80,0;83,0;83,0;86,0;86,0;85,0;27;41,38034699999947;2,160695000000017;1,08;4;4
71;64,0;62,0;62,0;60,0;55,0;38,0;21,0;12,0;14,0;15,0;16,0;14,0;21,0;32,0;41,0;43,0;49,0;71,0;81,0;77,0;72,0;75,0;83,0;77,0;21;41,3819309999999;2,1629689999999804;0,82;4;4
72;1,0;1,0;1,0;1,0;3,0;9,0;32,0;44,0;44,0;40,0;35,0;28,0;12,0;6,0;8,0;11,0;5,0;5,0;5,0;10,0;8,0;2,0;2,0;3,0;27;41,3927159999995;2,158811000000013;1,13;2;5
73;2,0;2,0;2,0;2,0;2,0;3,0;15,0;21,0;23,0;25,0;23,0;13,0;8,0;5,0;8,0;8,0;6,0;6,0;14,0;13,0;13,0;7,0;3,0;4,0;27;41,39227799999957;2,156183000000035;1,3;2;5
74;8,0;8,0;8,0;7,0;16,0;15,0;8,0;6,0;8,0;8,0;12,0;14,0;8,0;7,0;8,0;8,0;7,0;7,0;10,0;7,0;5,0;6,0;5,0;4,0;15;41,3900619999996;2,143272000000019;2,26;2;5
75;21,0;23,0;24,0;23,0;18,0;12,0;5,0;2,0;4,0;5,0;6,0;5,0;7,0;8,0;9,0;10,0;8,0;9,0;15,0;20,0;22,0;20,0;18,0;17,0;20;41,38508100000029;2,142867999999985;2,28;2;5
76;7,0;7,0;6,0;6,0;5,0;5,0;11,0;6,0;5,0;8,0;9,0;6,0;3,0;3,0;11,0;11,0;8,0;8,0;11,0;15,0;22,0;16,0;8,0;6,0;28;41,39175099999947;2,15312300000003;1,51;2;5
78;2,0;4,0;4,0;4,0;5,0;8,0;27,0;53,0;72,0;68,0;66,0;48,0;30,0;28,0;34,0;31,0;32,0;30,0;21,0;15,0;11,0;9,0;6,0;3,0;27;41,38566910000008;2,1634139000000183;0,57;3;2
79;2,0;4,0;5,0;6,0;7,0;16,0;24,0;33,0;58,0;63,0;59,0;42,0;32,0;34,0;35,0;37,0;44,0;42,0;33,0;23,0;19,0;15,0;12,0;5,0;24;41,3854434999996;2,1634297000000315;0,58;3;2
80;2,0;3,0;4,0;3,0;2,0;11,0;14,0;27,0;35,0;40,0;49,0;52,0;22,0;6,0;6,0;7,0;9,0;9,0;13,0;19,0;20,0;12,0;3,0;2,0;21;41,39000799999952;2,159955099999996;0,91;2;5
81;25,0;25,0;27,0;26,0;23,0;14,0;11,0;12,0;6,0;8,0;9,0;9,0;11,0;15,0;34,0;40,0;29,0;30,0;31,0;26,0;20,0;19,0;23,0;28,0;20;41,37900580000044;2,149085600000019;1,97;2;5
82;55,0;55,0;56,0;57,0;57,0;49,0;22,0;7,0;5,0;5,0;6,0;12,0;12,0;14,0;17,0;21,0;29,0;37,0;51,0;64,0;68,0;67,0;64,0;63,0;33;41,37879719999937;2,1533895000000025;1,67;5;3
83;36,0;35,0;36,0;35,0;29,0;14,0;4,0;1,0;3,0;2,0;3,0;11,0;20,0;20,0;15,0;14,0;16,0;14,0;18,0;25,0;31,0;32,0;32,0;35,0;23;41,38408849999987;2,1537733000000103;1,4;5;3
84;45,0;42,0;42,0;44,0;42,0;28,0;7,0;4,0;5,0;4,0;9,0;10,0;22,0;33,0;32,0;23,0;27,0;33,0;35,0;47,0;52,0;54,0;59,0;50,0;27;41,38312159999988;2,1572314;1,16;5;3
85;90,0;92,0;92,0;91,0;88,0;78,0;40,0;11,0;13,0;22,0;28,0;21,0;28,0;40,0;43,0;43,0;64,0;73,0;76,0;78,0;79,0;83,0;89,0;93,0;24;41,37506719999962;2,159004999999983;1,62;4;4
86;89,0;90,0;91,0;91,0;88,0;76,0;38,0;13,0;13,0;21,0;22,0;22,0;31,0;47,0;51,0;50,0;58,0;78,0;78,0;84,0;89,0;93,0;94,0;93,0;27;41,375268299999455;2,163098100000008;1,43;4;4
87;69,0;70,0;70,0;71,0;67,0;39,0;7,0;3,0;2,0;8,0;16,0;17,0;15,0;14,0;14,0;11,0;12,0;12,0;18,0;29,0;44,0;53,0;58,0;62,0;21;41,38320530000035;2,1486715000000145;1,84;5;3
88;3,0;3,0;3,0;4,0;4,0;8,0;15,0;26,0;29,0;25,0;20,0;12,0;5,0;5,0;3,0;2,0;2,0;4,0;4,0;4,0;5,0;3,0;3,0;3,0;20;41,393598599999734;2,1506554000000047;1,78;2;5
89;12,0;11,0;10,0;10,0;9,0;16,0;29,0;11,0;5,0;4,0;4,0;3,0;2,0;3,0;8,0;3,0;3,0;5,0;7,0;9,0;11,0;8,0;7,0;7,0;27;41,3881540000002;2,1503428000000127;1,65;2;5
90;11,0;11,0;11,0;8,0;9,0;24,0;44,0;20,0;11,0;10,0;7,0;6,0;4,0;4,0;5,0;3,0;4,0;5,0;6,0;13,0;12,0;9,0;8,0;9,0;18;41,38842490000019;2,150783199999983;1,62;2;5
92;1,0;1,0;1,0;1,0;4,0;6,0;32,0;53,0;64,0;63,0;59,0;46,0;17,0;4,0;7,0;10,0;6,0;4,0;4,0;3,0;5,0;4,0;3,0;2,0;18;41,39378520000065;2,1602703999999653;1,11;3;2
93;7,0;8,0;10,0;18,0;22,0;32,0;31,0;16,0;14,0;16,0;10,0;7,0;5,0;5,0;9,0;15,0;16,0;24,0;23,0;15,0;8,0;6,0;5,0;7,0;24;41,37555950000018;2,1499725000000227;2,11;2;5
94;3,0;3,0;5,0;6,0;8,0;12,0;15,0;13,0;12,0;13,0;14,0;12,0;8,0;6,0;6,0;12,0;19,0;28,0;30,0;27,0;20,0;10,0;4,0;3,0;24;41,37557039999963;2,150068099999999;2,1;2;5
95;4,0;5,0;6,0;8,0;10,0;10,0;15,0;16,0;9,0;5,0;4,0;5,0;4,0;6,0;8,0;10,0;10,0;12,0;19,0;20,0;16,0;13,0;10,0;8,0;31;41,376647799395876;2,147688507099719;2,2;2;5
96;27,0;27,0;26,0;26,0;23,0;19,0;14,0;8,0;10,0;11,0;7,0;12,0;15,0;13,0;17,0;22,0;15,0;16,0;19,0;25,0;28,0;24,0;24,0;28,0;21;41,374231599999725;2,148386099999991;2,3;2;5
97;4,0;5,0;6,0;6,0;13,0;18,0;15,0;8,0;7,0;5,0;4,0;7,0;7,0;6,0;8,0;11,0;6,0;8,0;10,0;9,0;5,0;6,0;7,0;7,0;21;41,37823690000004;2,145502999999979;2,27;2;5
98;4,0;4,0;4,0;10,0;30,0;51,0;19,0;6,0;4,0;4,0;10,0;11,0;12,0;12,0;23,0;15,0;11,0;7,0;10,0;9,0;6,0;7,0;5,0;5,0;21;41,38038030000016;2,1409726000000027;2,54;2;5
99;9,0;11,0;12,0;15,0;17,0;28,0;23,0;10,0;11,0;8,0;11,0;9,0;6,0;7,0;10,0;9,0;7,0;6,0;10,0;10,0;7,0;8,0;9,0;9,0;19;41,380632000000276;2,1415479999999953;2,49;2;5
100;4,0;5,0;5,0;7,0;13,0;30,0;17,0;9,0;6,0;4,0;9,0;9,0;11,0;12,0;13,0;11,0;9,0;9,0;11,0;9,0;5,0;5,0;4,0;4,0;21;41,37916609999964;2,1440132000000136;2,35;2;5
101;1,0;1,0;2,0;2,0;4,0;13,0;20,0;24,0;28,0;29,0;21,0;15,0;13,0;4,0;4,0;8,0;5,0;5,0;5,0;4,0;3,0;2,0;2,0;1,0;21;41,3927877999997;2,1434059;2,32;2;5
102;1,0;0,0;0,0;3,0;4,0;7,0;20,0;32,0;37,0;36,0;32,0;25,0;10,0;3,0;4,0;7,0;6,0;4,0;7,0;2,0;4,0;5,0;2,0;0,0;20;41,392251900000446;2,1420435;2,41;2;5
103;50,0;50,0;50,0;50,0;46,0;35,0;10,0;5,0;6,0;7,0;8,0;12,0;18,0;18,0;24,0;35,0;41,0;32,0;30,0;34,0;37,0;40,0;41,0;48,0;21;41,40985599999947;2,1882169999999745;2,96;5;3
